ICAO_ID ,Name,Size,Latitude,Longitude,municipality,local_region,ID_ST,City,State
KAFJ,Washington County Airport,small_airport,40.136501,-80.290199,Washington,PA,38,Washington,PA
KCRW,Yeager Airport,medium_airport,38.3731,-81.593201,Charleston,WV,45,Charleston,WV
K48I,Braxton County Airport,small_airport,38.68700027,-80.65180206,Sutton,WV,97,Sutton,WV
KHAO,Butler Co Regional Airport - Hogan Field,small_airport,39.3638000488,-84.5220031738,Hamilton,OH,7224,Hamilton,OH
KUCP,New Castle Municipal Airport,small_airport,41.02529907,-80.41339874,New Castle,PA,3001,New Castle,PA
KMZZ,Marion Municipal Airport,small_airport,40.4898986816,-85.6797027588,Marion,IN,243,Marion,IN
KTOL,Eugene F. Kranz Toledo Express Airport,medium_airport,41.5868,-83.8078,Toledo,OH,11,Toledo,OH
KTDZ,Toledo Executive Airport,small_airport,41.56489944,-83.4822998,Toledo,OH,11,Toledo,OH
KGWB,De Kalb County Airport,small_airport,41.307201,-85.0644,Auburn,IN,6430,Auburn,IN
KIRS,Kirsch Municipal Airport,small_airport,41.81330109,-85.43900299,Sturgis,MI,80,Sturgis,MI
KZZV,Zanesville Municipal Airport,medium_airport,39.9444007874,-81.89209747310001,Zanesville,OH,3028,Zanesville,OH
KVTA,Newark Heath Airport,small_airport,40.0247001648,-82.46179962160001,Newark,OH,5517,Newark,OH
KBTP,Pittsburgh/Butler Regional Airport,small_airport,40.776901,-79.949699,Butler,PA,1949,Butler,PA
KPOV,Portage County Regional Airport,small_airport,41.210201,-81.251602,Ravenna,OH,216,Ravenna,OH
KIOB,Mount Sterling Montgomery County Airport,small_airport,38.05810165,-83.979599,Mount Sterling,KY,98,Mount Sterling,KY
KHTS,Tri-State/Milton J. Ferguson Field,medium_airport,38.366699,-82.557999,Huntington,WV,100,Huntington,WV
KCKB,North Central West Virginia Airport,medium_airport,39.2966003418,-80.2281036377,Clarksburg,WV,5147,Clarksburg,WV
KHLG,Wheeling Ohio County Airport,medium_airport,40.1749992371,-80.6463012695,Wheeling,WV,116,Wheeling,WV
KMWO,Middletown Regional Airport,small_airport,39.530998,-84.395302,Middletown,OH,127,Middletown,OH
KPCW,Carl R Keller Field,small_airport,41.516300201416016,-82.86869812011719,Port Clinton,OH,15446,Port Clinton,OH
KLHQ,Fairfield County Airport,small_airport,39.75559997558594,-82.65709686279297,Lancaster,OH,8496,Lancaster,OH
KGSH,Goshen Municipal Airport,small_airport,41.5264015198,-85.79290008539999,Goshen,IN,4283,Goshen,IN
KBJJ,Wayne County Airport,small_airport,40.8748016357,-81.88829803470001,Wooster,OH,219,Wooster,OH
KBVI,Beaver County Airport,medium_airport,40.772499,-80.391403,Beaver Falls,PA,6060,Beaver Falls,PA
KASW,Warsaw Municipal Airport,small_airport,41.27470016479492,-85.84010314941406,Warsaw,IN,157,Warsaw,IN
KHAI,Three Rivers Municipal Dr Haines Airport,small_airport,41.9598007202,-85.59339904790001,Three Rivers,MI,4757,Three Rivers,MI
KBKW,Raleigh County Memorial Airport,medium_airport,37.7873001099,-81.1241989136,Beckley,WV,3152,Beckley,WV
KFDY,Findlay Airport,medium_airport,41.0135002136,-83.66870117190001,Findlay,OH,170,Findlay,OH
KLEX,Blue Grass Airport,medium_airport,38.036499,-84.605904,Lexington,KY,183,Lexington,KY
KMNN,Marion Municipal Airport,small_airport,40.6161994934,-83.06349945070001,Marion,OH,195,Marion,OH
KMRT,Union County Airport,small_airport,40.224700927734375,-83.35160064697266,Marysville,OH,1926,Marysville,OH
KFFT,Capital City Airport,small_airport,38.18249893,-84.90470123,Frankfort,KY,204,Frankfort,KY
KVES,Darke County Airport,small_airport,40.20439910888672,-84.53189849853516,Versailles,OH,13558,Versailles,OH
KILN,Wilmington Airpark,medium_airport,39.427898407,-83.792098999,Wilmington,OH,218,Wilmington,OH
KTVL,Lake Tahoe Airport,medium_airport,38.89390182495117,-119.99500274658205,South Lake Tahoe,CA,441,South Lake Tahoe,CA
KRHV,Reid-Hillview Airport of Santa Clara County,small_airport,37.332901001,-121.819000244,San Jose,CA,250,San Jose,CA
KSJC,Norman Y. Mineta San Jose International Airport,large_airport,37.362452,-121.929188,San Jose,CA,250,San Jose,CA
KOAK,Metropolitan Oakland International Airport,large_airport,37.721298,-122.221001,Oakland,CA,255,Oakland,CA
KMHR,Sacramento Mather Airport,medium_airport,38.553902,-121.297997,Sacramento,CA,267,Sacramento,CA
KSAC,Sacramento Executive Airport,medium_airport,38.5125007629,-121.492996216,Sacramento,CA,267,Sacramento,CA
